YYYY-MM-DD,GHI
1991-01-01,97.92052624810444
1991-02-01,124.34686081607323
1991-03-01,153.35290401369744
1991-04-01,243.9005629127651
1991-05-01,270.73437758308626
1991-06-01,281.22236898785064
1991-07-01,299.547206785966
1991-08-01,216.01222372394676
1991-09-01,219.605967634245
1991-10-01,168.2212238247644
1991-11-01,115.13298400707116
1991-12-01,83.9660563879392
1992-01-01,94.63853700676617
1992-02-01,112.52360398689352
1992-03-01,156.8209727527008
1992-04-01,232.52887971926157
1992-05-01,294.8867073955227
1992-06-01,290.4694191336302
1992-07-01,298.8557182952367
1992-08-01,267.67024131337314
1992-09-01,225.82676965074427
1992-10-01,154.08432610097293
1992-11-01,110.54706394707637
1992-12-01,78.23472575891724
1993-01-01,81.14601061414761
1993-02-01,108.70580279192056
1993-03-01,163.05366765282653
1993-04-01,244.98643755298355
1993-05-01,254.94776704488422
1993-06-01,314.5522696093633
1993-07-01,322.7331039820795
1993-08-01,259.14081485740394
1993-09-01,222.1202818243934
1993-10-01,140.5846188839779
1993-11-01,115.10958176235957
1993-12-01,83.97356199737405
1994-01-01,101.27761580398311
1994-02-01,117.93787147029795
1994-03-01,183.775363814109
1994-04-01,229.6896546916565
1994-05-01,262.76013533884327
1994-06-01,329.5223367165008
1994-07-01,306.831300218948
1994-08-01,290.20410319384393
1994-09-01,227.87077797608035
1994-10-01,171.3407061840063
1994-11-01,102.98263198089668
1994-12-01,83.90680705435307
1995-01-01,63.464431362408014
1995-02-01,115.77260993105452
1995-03-01,157.1751017622914
1995-04-01,221.3171718014813
1995-05-01,254.1920805404921
1995-06-01,296.2885533052036
1995-07-01,304.36584578674706
1995-08-01,296.2427512989118
1995-09-01,225.5188202126382
1995-10-01,172.2882498346184
1995-11-01,112.9802806177463
1995-12-01,71.40694737646001
1996-01-01,86.01247657957705
1996-02-01,115.20555265306983
1996-03-01,188.1087414014035
1996-04-01,234.1117265919991
1996-05-01,267.9485381949831
1996-06-01,298.3688781929919
1996-07-01,297.44361616740304
1996-08-01,275.8849644963798
1996-09-01,213.28837391342316
1996-10-01,136.0065894475241
1996-11-01,79.26408636304899
1996-12-01,54.16091225879058
1997-01-01,60.411316733879666
1997-02-01,110.6104461486628
1997-03-01,135.7513002244832
1997-04-01,218.38321242652606
1997-05-01,248.78975962006672
1997-06-01,281.3755111315266
1997-07-01,265.6403890556216
1997-08-01,234.9161026045165
1997-09-01,202.79818908248595
1997-10-01,154.83466789053224
1997-11-01,80.3119978420641
1997-12-01,88.84634940750915
1998-01-01,64.31811982702746
1998-02-01,98.31426716108672
1998-03-01,172.19323061005525
1998-04-01,242.68233444799463
1998-05-01,241.27893904132156
1998-06-01,237.7445269883027
1998-07-01,252.34494454707735
1998-08-01,239.62213353555913
1998-09-01,187.91977017679756
1998-10-01,156.59476961776437
1998-11-01,93.66389038190144
1998-12-01,92.62024441657071
1999-01-01,88.91721005757843
1999-02-01,116.12178185175273
1999-03-01,181.48967405786257
1999-04-01,241.67989168040128
1999-05-01,261.39862263309925
1999-06-01,287.94613614945496
1999-07-01,259.4492291815391
1999-08-01,218.43419630319696
1999-09-01,205.62336812935948
1999-10-01,159.8008049060489
1999-11-01,93.77852987906766
1999-12-01,103.38836043154973
2000-01-01,74.9541935570934
2000-02-01,94.96860304061062
2000-03-01,194.43781572554025
2000-04-01,236.26807195034553
2000-05-01,255.03813117969293
2000-06-01,281.69636488579505
2000-07-01,251.28523644637963
2000-08-01,246.76229466215256
2000-09-01,203.11774732628342
2000-10-01,136.97068253072453
2000-11-01,113.02552681502203
2000-12-01,87.77338923162513
2001-01-01,93.70201362900602
2001-02-01,122.809140696688
2001-03-01,181.52543099829293
2001-04-01,242.24143069433148
2001-05-01,283.10131120532003
2001-06-01,303.45457997744455
2001-07-01,245.18131046042515
2001-08-01,235.0933633693397
2001-09-01,200.14124181687646
2001-10-01,134.8434577237179
2001-11-01,95.08293274229632
2001-12-01,69.41445241708827
2002-01-01,99.28324079099626
2002-02-01,138.6498446863615
2002-03-01,190.8738841587637
2002-04-01,223.184961821968
2002-05-01,279.6677449807684
2002-06-01,279.1147671933828
2002-07-01,278.80149541630703
2002-08-01,221.68790238717955
2002-09-01,208.8003122734236
2002-10-01,150.77741359235176
2002-11-01,106.89834080481867
2002-12-01,72.71399603315832
2003-01-01,88.5779164373211
2003-02-01,132.55247721639094
2003-03-01,196.96808430795738
2003-04-01,235.46285387037196
2003-05-01,262.1537979036034
2003-06-01,265.8549600301895
2003-07-01,272.06369329907443
2003-08-01,252.7452100405107
2003-09-01,203.77674937255384
2003-10-01,165.16801710342892
2003-11-01,100.04632566302284
2003-12-01,69.52065320177125
2004-01-01,78.80098226612246
2004-02-01,89.01978254646447
2004-03-01,193.2088473008249
2004-04-01,243.91750728262164
2004-05-01,274.8662116746543
2004-06-01,280.74014740185055
2004-07-01,253.89083938050618
2004-08-01,222.71507838669731
2004-09-01,216.38755613648308
2004-10-01,139.95117979599436
2004-11-01,105.25852598722624
2004-12-01,82.23911227360527
2005-01-01,96.26341926832166
2005-02-01,101.35568363341157
2005-03-01,170.6344278921754
2005-04-01,249.97747713905906
2005-05-01,245.18286125909214
2005-06-01,281.8504149009738
2005-07-01,276.3664838680498
2005-08-01,232.78892960959135
2005-09-01,195.74030200232866
2005-10-01,151.74056259755667
2005-11-01,105.15662373790433
2005-12-01,65.34962735557146
