,STATION,Cluster,latitude,longitude,Centroid_Dist,USAF,CLASS,CZ
0,ARCATA AIRPORT,0,40.983,-124.1,1.990099112005958,725945,1,Arcata
1,DAGGETT BARSTOW-DAGGETT AP,1,34.85,-116.8,4.630136439131388,723815,1,Palmdale
2,LONG BEACH DAUGHERTY FLD,2,33.833,-118.167,1.9012410124366927,722970,1,Torrance
3,SACRAMENTO EXECUTIVE ARPT,3,38.5,-121.5,3.013341050960284,724830,1,Sacramento
4,IMPERIAL,4,32.833,-115.583,2.106913198541976,747185,2,Palm Spring-Intl
5,RIVERSIDE MUNI,5,33.95,-117.45,1.1448552659024598,722869,2,Burbank-Glendale
6,SOUTH LAKE TAHOE,6,38.9,-120.0,1.0336771219918712,725847,2,Blue Canyon
7,SAN FRANCISCO INTL AP,7,37.617,-122.4,3.9977303702374334,724940,1,Oakland
8,CHINA LAKE NAF,8,35.683,-117.683,0.7406200773376362,746120,2,China Lake
9,REDDING MUNICIPAL ARPT,9,40.517,-122.317,2.8504053897129578,725920,1,Santa Rosa
10,SANTA MARIA PUBLIC ARPT,10,34.917,-120.467,4.014244319725188,723940,1,Santa Maria
11,SAN DIEGO LINDBERGH FIELD,11,32.733000000000004,-117.167,3.2713444120231348,722900,1,San Diego-Lindbergh
12,SANTA BARBARA MUNICIPAL AP,12,34.433,-119.85,3.1430665419464043,723925,1,Santa Barbaba
13,FRESNO YOSEMITE INTL AP,13,36.783,-119.717,2.4924466570412167,723890,1,Fresno
14,TWENTYNINE PALMS,14,34.3,-116.167,1.8106489606959628,690150,2,Palm Spring
15,MONTAGUE SISKIYOU COUNTY AP,15,41.783,-122.467,1.7668796401059212,725955,2,Red Bluff
